platform,trial,cover_name,payload_size_bytes,success,ber,failure_reason,timestamp
whatsapp_document,1,arsenal/preview.jpg,10,True,0.00000000,,2026-08-22T23:37:51.337732+00:00
whatsapp_document,2,arsenal/preview.jpg,100,True,0.00000000,,2026-08-22T23:37:59.813262+00:00
whatsapp_document,3,arsenal/preview.jpg,1889,True,0.00000000,,2026-08-22T23:38:06.583998+00:00
whatsapp_document,4,audiophile/preview.jpg,10,True,0.00000000,,2026-08-22T23:38:28.830137+00:00
whatsapp_document,5,audiophile/preview.jpg,100,True,0.00000000,,2026-08-22T23:38:32.626756+00:00
whatsapp_document,6,audiophile/preview.jpg,641,True,0.00000000,,2026-08-22T23:38:36.828404+00:00
whatsapp_document,7,beach/preview.jpg,10,True,0.00000000,,2026-08-22T23:38:40.964519+00:00
whatsapp_document,8,beach/preview.jpg,100,True,0.00000000,,2026-08-22T23:38:46.083329+00:00
whatsapp_document,9,beach/preview.jpg,2593,True,0.00000000,,2026-08-22T23:38:50.926764+00:00
whatsapp_document,10,corsair_collection/dotted.fabeb454b273c6d2398a.jpg,10,True,0.00000000,,2026-08-22T23:38:56.535744+00:00
whatsapp_document,11,corsair_collection/dotted.fabeb454b273c6d2398a.jpg,100,True,0.00000000,,2026-08-22T23:39:03.457131+00:00
whatsapp_document,12,corsair_collection/dotted.fabeb454b273c6d2398a.jpg,21569,True,0.00000000,,2026-08-22T23:39:09.704102+00:00
whatsapp_document,13,deep_space/preview.jpg,10,True,0.00000000,,2026-08-22T23:39:23.404337+00:00
whatsapp_document,14,deep_space/preview.jpg,100,True,0.00000000,,2026-08-22T23:39:28.715639+00:00
whatsapp_document,15,deep_space/preview.jpg,2977,True,0.00000000,,2026-08-22T23:39:33.861243+00:00
whatsapp_document,16,demon_core/preview.jpg,10,True,0.00000000,,2026-08-22T23:39:39.873935+00:00
whatsapp_document,17,demon_core/preview.jpg,100,True,0.00000000,,2026-08-22T23:39:44.696634+00:00
whatsapp_document,18,demon_core/preview.jpg,2273,True,0.00000000,,2026-08-22T23:39:49.571299+00:00
whatsapp_document,19,dna_fragment/preview.jpg,10,True,0.00000000,,2026-08-22T23:39:54.757910+00:00
whatsapp_document,20,dna_fragment/preview.jpg,100,True,0.00000000,,2026-08-22T23:40:02.050572+00:00
whatsapp_document,21,dna_fragment/preview.jpg,2977,True,0.00000000,,2026-08-22T23:40:09.303135+00:00
whatsapp_document,22,eagleflag/preview.jpg,10,True,0.00000000,,2026-08-22T23:40:17.413229+00:00
whatsapp_document,23,eagleflag/preview.jpg,100,True,0.00000000,,2026-08-22T23:40:22.662894+00:00
whatsapp_document,24,eagleflag/preview.jpg,2977,True,0.00000000,,2026-08-22T23:40:37.631974+00:00
whatsapp_document,25,fantasticcar/preview.jpg,10,True,0.00000000,,2026-08-22T23:40:43.939606+00:00
whatsapp_document,26,fantasticcar/preview.jpg,100,True,0.00000000,,2026-08-22T23:40:50.379098+00:00
whatsapp_document,27,fantasticcar/preview.jpg,2593,True,0.00000000,,2026-08-22T23:40:57.293560+00:00
whatsapp_document,28,neon_sunset/preview.jpg,10,True,0.00000000,,2026-08-22T23:41:04.355575+00:00
whatsapp_document,29,neon_sunset/preview.jpg,100,True,0.00000000,,2026-08-22T23:41:10.636679+00:00
whatsapp_document,30,neon_sunset/preview.jpg,3425,True,0.00000000,,2026-08-22T23:41:17.854937+00:00
whatsapp_document,31,retro/preview.jpg,10,True,0.00000000,,2026-08-22T23:41:24.573224+00:00
whatsapp_document,32,retro/preview.jpg,100,True,0.00000000,,2026-08-22T23:41:30.729068+00:00
whatsapp_document,33,retro/preview.jpg,2241,True,0.00000000,,2026-08-22T23:41:36.354132+00:00
whatsapp_document,34,ricepod/preview.jpg,10,True,0.00000000,,2026-08-22T23:41:43.053427+00:00
whatsapp_document,35,ricepod/preview.jpg,100,True,0.00000000,,2026-08-22T23:41:47.233685+00:00
whatsapp_document,36,ricepod/preview.jpg,641,True,0.00000000,,2026-08-22T23:41:51.436517+00:00
whatsapp_document,37,sheep/preview.jpg,10,True,0.00000000,,2026-08-22T23:41:55.941572+00:00
whatsapp_document,38,sheep/preview.jpg,100,True,0.00000000,,2026-08-22T23:42:00.019415+00:00
whatsapp_document,39,sheep/preview.jpg,641,True,0.00000000,,2026-08-22T23:42:07.679838+00:00
whatsapp_document,40,shimmering_particles/preview.jpg,10,True,0.00000000,,2026-08-22T23:42:12.054579+00:00
whatsapp_document,41,shimmering_particles/preview.jpg,100,True,0.00000000,,2026-08-22T23:42:17.718751+00:00
whatsapp_document,42,shimmering_particles/preview.jpg,2529,True,0.00000000,,2026-08-22T23:42:23.083113+00:00
whatsapp_document,43,techno/preview.jpg,10,True,0.00000000,,2026-08-22T23:42:30.663999+00:00
whatsapp_document,44,techno/preview.jpg,100,True,0.00000000,,2026-08-22T23:42:34.798768+00:00
whatsapp_document,45,techno/preview.jpg,641,True,0.00000000,,2026-08-22T23:42:39.361714+00:00
